timestamp,open,high,low,close,volume,open interest
2026-01-05,25431.75,25708.0,25406.5,25577.75,461305,270215
2026-01-06,25583.0,25837.75,25527.5,25822.0,445573,273663
2026-01-07,25831.25,25996.25,25727.0,25838.75,477861,271524
2026-01-08,25838.75,25849.75,25569.0,25687.5,510805,266367
2026-01-09,25725.0,25985.5,25615.5,25938.25,509669,272389
2026-01-12,25949.0,26020.5,25632.75,25956.75,452996,275751
2026-01-13,25953.5,26045.5,25803.25,25906.0,560438,278121
2026-01-14,25900.75,25925.75,25420.75,25631.0,647871,272282
2026-01-15,25593.0,25952.75,25562.5,25705.75,591058,271773
2026-01-16,25720.5,25891.0,25591.5,25689.0,490573,269328
2026-01-19,25471.0,25472.0,25236.5,25395.75,171884,269328
