timestamp,open,high,low,close,volume
2026-01-04 18:00:00,25431.75,25455.75,25418.25,25443.25,1779
2026-01-04 18:05:00,25442.25,25444.0,25406.5,25426.25,983
2026-01-04 18:10:00,25426.75,25435.75,25408.0,25422.25,627
2026-01-04 18:15:00,25425.0,25442.5,25421.25,25436.5,832
2026-01-04 18:20:00,25435.5,25455.0,25435.5,25452.25,669
2026-01-04 18:25:00,25452.0,25463.25,25450.5,25459.25,912
2026-01-04 18:30:00,25459.0,25459.25,25438.75,25457.25,1012
2026-01-04 18:35:00,25456.75,25461.0,25445.75,25448.75,538
2026-01-04 18:40:00,25448.5,25448.5,25431.25,25432.5,583
2026-01-04 18:45:00,25433.25,25444.75,25417.5,25441.25,820
2026-01-04 18:50:00,25443.25,25455.5,25436.5,25450.25,575
2026-01-04 18:55:00,25450.5,25461.75,25449.25,25457.0,391
2026-01-04 19:00:00,25459.25,25475.25,25454.25,25474.75,1117
2026-01-04 19:05:00,25473.75,25478.5,25458.5,25460.0,657
2026-01-04 19:10:00,25459.0,25460.25,25448.25,25454.25,555
2026-01-04 19:15:00,25453.75,25478.5,25453.25,25472.5,754
2026-01-04 19:20:00,25474.0,25479.5,25465.0,25470.75,534
2026-01-04 19:25:00,25471.75,25475.5,25463.5,25469.25,339
2026-01-04 19:30:00,25470.0,25472.5,25458.75,25463.25,384
2026-01-04 19:35:00,25463.0,25465.25,25434.75,25443.0,666
2026-01-04 19:40:00,25445.0,25455.75,25438.75,25453.25,444
2026-01-04 19:45:00,25452.75,25466.0,25452.5,25457.25,473
2026-01-04 19:50:00,25460.0,25470.5,25456.0,25465.75,325
2026-01-04 19:55:00,25464.75,25471.25,25460.25,25466.75,365
2026-01-04 20:00:00,25467.0,25487.5,25462.25,25463.75,1309
2026-01-04 20:05:00,25465.75,25471.25,25451.75,25464.25,824
2026-01-04 20:10:00,25464.0,25466.25,25453.0,25463.5,600
2026-01-04 20:15:00,25464.75,25464.75,25453.5,25458.75,482
2026-01-04 20:20:00,25458.25,25468.25,25450.0,25462.5,396
