window,n_selected,avg_is_ic,avg_oos_ic,test_start,test_end
57,11,0.03150537704095769,0.018959082681566857,2014-03-24 19:10:00,2014-04-24 17:50:00
58,8,0.028615329884337334,0.03624117782227356,2014-04-24 17:55:00,2014-05-26 22:20:00
59,9,0.025852304038693118,0.05988910144949771,2014-05-26 22:25:00,2014-06-25 23:15:00
60,17,0.030815224447026807,0.030578526488082354,2014-06-25 23:20:00,2014-07-28 07:35:00
61,17,0.03131710096940098,0.04171109791447967,2014-07-28 07:40:00,2014-08-27 11:00:00
62,24,0.03724703322514355,0.03011153337417642,2014-08-27 11:05:00,2014-09-26 15:35:00
63,21,0.038500024512134336,0.01886844690872326,2014-09-26 15:40:00,2014-10-28 13:50:00
64,12,0.029918112593824913,0.03951476026335223,2014-10-28 13:55:00,2014-11-27 17:00:00
65,11,0.03210536045724336,0.03283052948222377,2014-11-27 17:05:00,2014-12-30 23:35:00
66,10,0.030356611754635405,0.04035336010419519,2014-12-30 23:40:00,2015-02-02 01:45:00
67,6,0.03898762951388763,0.09570130484624427,2015-02-02 01:50:00,2015-03-04 06:05:00
68,18,0.04215439236464116,0.02735326506668581,2015-03-04 06:10:00,2015-04-03 06:10:00
69,14,0.03833593518902871,0.03203760958434496,2015-04-03 06:15:00,2015-05-05 13:15:00
70,15,0.033598870963099055,0.046095100141870814,2015-05-05 13:20:00,2015-06-04 18:00:00
71,24,0.039749101488952526,0.030455737996138516,2015-06-04 18:05:00,2015-07-07 00:45:00
72,8,0.035613841477476205,0.03135480540553624,2015-07-07 00:50:00,2015-08-05 23:30:00
73,9,0.02893825060406233,0.029124857721420292,2015-08-05 23:35:00,2015-09-06 21:45:00
74,4,0.029017899451936117,0.06439092675029291,2015-09-06 21:50:00,2015-10-07 02:50:00
75,7,0.03202512274194304,0.048749176268718684,2015-10-07 02:55:00,2015-11-06 08:15:00
76,8,0.02671181993452814,0.037870579822932265,2015-11-06 08:20:00,2015-12-08 20:55:00
77,8,0.02902754772482565,0.022475352319333963,2015-12-08 21:00:00,2016-01-12 04:10:00
78,6,0.032486703351677394,0.029435415368550284,2016-01-12 04:15:00,2016-02-11 11:25:00
79,1,0.024251036924975704,0.02792630332686836,2016-02-11 11:30:00,2016-03-14 19:55:00
80,3,0.030978721979572642,0.031009412268256417,2016-03-14 20:00:00,2016-04-14 23:40:00
81,5,0.025282095539819284,0.033058419302785205,2016-04-14 23:45:00,2016-05-17 03:20:00
82,10,0.026302119026762872,0.03603267900486102,2016-05-17 03:25:00,2016-06-16 10:55:00
83,11,0.042842283490149055,0.02483073813212705,2016-06-16 11:00:00,2016-07-18 20:00:00
84,11,0.03192843833125389,0.05840749577599309,2016-07-18 20:05:00,2016-08-17 23:45:00
85,10,0.03143536113578473,0.023183246396040056,2016-08-17 23:50:00,2016-09-19 07:55:00
86,13,0.0318465846815047,0.028571688991477544,2016-09-19 08:00:00,2016-10-19 11:45:00
