feature,n_selected,avg_is_ic,avg_oos_ic,oos_hit_rate,ic_decay
body_ratio,3,-0.021604774036213373,-0.015130171515749483,1.0,0.7003161195015821
gap,4,0.0214059804654062,0.009263533315429747,1.0,0.43275445057984463
vwap,143,-0.038065661674085004,-0.0652783668312209,0.972027972027972,1.7148885362910224
close_position,39,-0.02606340384667336,-0.020112376186693315,0.9230769230769231,0.7716711257290513
atr_12,133,0.041882990716303595,0.03623542567384111,0.8571428571428571,0.8651585059740234
natr_12,140,0.04166318432891361,0.03626521344901977,0.85,0.8704378705842767
consec_down,37,0.026770297453335666,0.014416865356435715,0.7837837837837838,0.5385396027655766
log_ret_1,29,-0.02441061625007491,-0.014581015960676225,0.7586206896551724,0.5973227308684383
mom_sign_6,63,-0.03081560280459702,-0.020363598060640347,0.746031746031746,0.660821019461042
rsi_28,89,-0.03989333146232252,-0.03418966179275927,0.7415730337078652,0.8570269902138881
mom_sign_3,38,-0.029329116098237167,-0.01590715435099964,0.7105263157894737,0.5423673286886318
is_close_30min,69,-0.01569179033792218,-0.0028088114075957107,0.7101449275362319,0.17899878516778844
is_rth,102,0.03586107516229554,0.021710207263610448,0.696078431372549,0.6053975561345311
pctrank_24,105,-0.03356889509601928,-0.022823268585454994,0.6952380952380952,0.679893351275701
mom_sign_96,81,-0.03374241324709555,-0.023562332832470733,0.691358024691358,0.6983001678013919
rvol_ratio_96,95,0.027946582491132334,0.015490889164813743,0.6736842105263158,0.554303524222653
hour_cos,103,-0.034727162640140107,-0.0206255284484827,0.6699029126213593,0.5939307124574081
mom_sign_48,69,-0.03868698754607938,-0.023247572341760774,0.6666666666666666,0.6009145145786036
upper_wick_ratio,15,0.023887644421501257,0.012369145161491834,0.6666666666666666,0.5178051440835402
vol_mom_96,94,0.03146082662871511,0.016006431406435637,0.648936170212766,0.5087733896930143
vwap_distance,84,-0.028621932411277348,-0.024438660111957593,0.6428571428571429,0.853843820214197
hour_sin,57,0.01747304926211099,0.0053650450136161236,0.631578947368421,0.307046865898205
mins_since_open,70,-0.020601068438093593,-0.010803242182202527,0.6285714285714286,0.5244020335482295
vol_mom_48,107,0.03442663816581753,0.02106844572872669,0.616822429906542,0.6119809209150637
vol_mom_24,69,0.018810617004387485,0.006610168469088501,0.5507246376811594,0.35140625464580516
is_open_30min,55,0.022970488023300716,0.0013114115567320385,0.5454545454545454,0.05709114910409277
range_ratio_20,8,0.02231040773633681,0.00017198457227208652,0.5,0.007708714887894067
rvol_ratio_24,29,0.017866888290986378,-0.003139026655135528,0.4827586206896552,0.1756896110846077
dow_sin,73,-0.011469992608893188,-0.007226913694782865,0.4657534246575342,0.6300713471410192
dow_cos,74,0.000614902831220725,0.00794479672014726,0.4594594594594595,12.920410049787854
vol_mom_12,44,0.013096637529415377,-0.00037685657178308514,0.45454545454545453,0.02877506313637037
