timestamp,open,high,low,close,volume
2026-01-04 18:00:00,25431.75,25463.25,25406.5,25457.0,9721
2026-01-04 19:00:00,25459.25,25479.5,25434.75,25466.75,6613
2026-01-04 20:00:00,25467.0,25487.5,25450.0,25458.25,6792
2026-01-04 21:00:00,25459.25,25483.25,25452.25,25474.0,3300
2026-01-04 22:00:00,25474.25,25482.75,25457.5,25464.0,2230
2026-01-04 23:00:00,25463.75,25491.75,25457.75,25487.5,2401
2026-01-05 00:00:00,25488.0,25497.0,25465.5,25495.25,2672
2026-01-05 01:00:00,25494.5,25507.25,25468.75,25506.25,3265
2026-01-05 02:00:00,25506.25,25509.0,25455.0,25478.0,3683
2026-01-05 03:00:00,25478.0,25556.75,25467.75,25512.0,7664
2026-01-05 04:00:00,25511.25,25532.25,25495.75,25512.0,4212
2026-01-05 05:00:00,25512.25,25559.0,25511.25,25553.75,3907
2026-01-05 06:00:00,25554.25,25577.0,25544.0,25567.5,3829
2026-01-05 07:00:00,25567.5,25588.25,25544.5,25557.25,5100
2026-01-05 08:00:00,25558.25,25592.75,25520.25,25576.0,10479
2026-01-05 09:00:00,25576.0,25672.5,25538.5,25599.75,100057
2026-01-05 10:00:00,25593.25,25690.5,25566.0,25665.0,71996
2026-01-05 11:00:00,25665.25,25708.0,25651.25,25658.25,44841
2026-01-05 12:00:00,25659.0,25673.5,25607.5,25626.75,41602
2026-01-05 13:00:00,25627.0,25632.25,25557.0,25612.75,36632
2026-01-05 14:00:00,25612.75,25618.75,25549.5,25577.5,30774
2026-01-05 15:00:00,25577.0,25613.0,25565.0,25586.75,42871
2026-01-05 16:00:00,25587.0,25590.75,25573.25,25578.25,9320
2026-01-05 18:00:00,25583.0,25598.75,25560.75,25565.5,3860
2026-01-05 19:00:00,25566.0,25582.25,25552.25,25563.25,4087
2026-01-05 20:00:00,25563.5,25602.75,25555.25,25597.5,3898
2026-01-05 21:00:00,25598.0,25625.5,25592.25,25623.5,2826
2026-01-05 22:00:00,25623.75,25629.25,25616.0,25620.25,1892
2026-01-05 23:00:00,25620.75,25648.0,25620.5,25646.25,3262
2026-01-06 00:00:00,25647.0,25653.25,25638.5,25642.75,1728
2026-01-06 01:00:00,25643.0,25674.25,25641.75,25668.25,2587
2026-01-06 02:00:00,25669.5,25670.0,25642.25,25646.75,1913
2026-01-06 03:00:00,25647.5,25647.75,25527.5,25572.25,10947
2026-01-06 04:00:00,25572.5,25608.0,25557.0,25586.75,5749
2026-01-06 05:00:00,25585.5,25597.0,25571.75,25592.0,2529
2026-01-06 06:00:00,25593.5,25610.25,25590.25,25596.75,3109
2026-01-06 07:00:00,25596.0,25649.0,25591.5,25641.25,4890
2026-01-06 08:00:00,25640.25,25650.5,25590.5,25616.5,8596
2026-01-06 09:00:00,25616.75,25761.25,25592.5,25753.0,85081
2026-01-06 10:00:00,25753.0,25779.0,25673.0,25687.5,78191
2026-01-06 11:00:00,25687.0,25707.75,25639.25,25695.5,61539
2026-01-06 12:00:00,25696.0,25785.5,25674.5,25760.25,43489
2026-01-06 13:00:00,25759.75,25805.75,25745.0,25804.75,32045
2026-01-06 14:00:00,25805.0,25821.0,25794.0,25807.75,24538
2026-01-06 15:00:00,25807.75,25837.75,25801.25,25813.5,41988
2026-01-06 16:00:00,25813.5,25833.0,25809.75,25831.25,10403
2026-01-06 18:00:00,25831.25,25844.75,25815.5,25824.75,3881
2026-01-06 19:00:00,25825.25,25842.25,25819.0,25829.5,4380
2026-01-06 20:00:00,25828.75,25835.0,25811.5,25817.5,3692
2026-01-06 21:00:00,25815.75,25832.75,25801.75,25806.25,2941
2026-01-06 22:00:00,25807.25,25822.0,25796.75,25799.5,2711
2026-01-06 23:00:00,25800.0,25804.0,25780.5,25785.75,3098
2026-01-07 00:00:00,25785.75,25794.25,25775.5,25783.5,2295
2026-01-07 01:00:00,25782.75,25799.75,25768.25,25769.25,2836
2026-01-07 02:00:00,25768.75,25779.5,25764.75,25766.5,2187
2026-01-07 03:00:00,25766.0,25788.0,25753.5,25753.75,4581
2026-01-07 04:00:00,25753.75,25758.75,25727.0,25753.0,6495
2026-01-07 05:00:00,25752.5,25762.0,25727.75,25739.5,3270
2026-01-07 06:00:00,25740.25,25768.5,25732.0,25768.0,3996
2026-01-07 07:00:00,25768.0,25782.25,25753.0,25766.25,5433
2026-01-07 08:00:00,25765.0,25793.75,25755.25,25788.75,9857
2026-01-07 09:00:00,25788.25,25880.0,25761.5,25855.0,67437
2026-01-07 10:00:00,25857.25,25911.25,25810.75,25905.0,81358
2026-01-07 11:00:00,25905.5,25971.0,25879.25,25970.25,57058
2026-01-07 12:00:00,25969.75,25996.25,25960.0,25971.0,42018
2026-01-07 13:00:00,25971.0,25979.0,25926.0,25955.5,40798
2026-01-07 14:00:00,25956.0,25956.25,25890.0,25902.75,40799
2026-01-07 15:00:00,25902.75,25913.5,25814.5,25835.0,66677
2026-01-07 16:00:00,25835.0,25839.25,25820.0,25835.75,12932
2026-01-07 18:00:00,25838.75,25849.75,25818.75,25822.75,3646
2026-01-07 19:00:00,25822.75,25843.5,25805.75,25842.5,3609
2026-01-07 20:00:00,25842.0,25844.5,25817.0,25837.75,3663
2026-01-07 21:00:00,25837.0,25840.5,25774.0,25786.25,4518
2026-01-07 22:00:00,25786.5,25795.25,25769.75,25776.75,3126
2026-01-07 23:00:00,25776.25,25794.0,25772.75,25778.5,1902
2026-01-08 00:00:00,25779.25,25784.75,25737.25,25738.25,3325
2026-01-08 01:00:00,25738.5,25742.5,25670.0,25705.75,8140
2026-01-08 02:00:00,25705.75,25805.25,25680.5,25749.75,9905
2026-01-08 03:00:00,25749.0,25803.5,25747.5,25780.5,6442
2026-01-08 04:00:00,25780.75,25795.5,25751.0,25770.0,4338
2026-01-08 05:00:00,25769.0,25774.25,25744.0,25772.25,3347
2026-01-08 06:00:00,25772.75,25786.0,25738.75,25771.75,5531
2026-01-08 07:00:00,25770.25,25778.0,25746.5,25767.0,5267
2026-01-08 08:00:00,25766.5,25818.0,25758.0,25799.5,8456
2026-01-08 09:00:00,25799.5,25811.0,25597.25,25603.25,101613
2026-01-08 10:00:00,25603.75,25713.5,25569.0,25684.25,100509
2026-01-08 11:00:00,25684.25,25686.5,25583.75,25671.25,60365
2026-01-08 12:00:00,25670.75,25703.75,25627.0,25680.5,35636
2026-01-08 13:00:00,25681.0,25684.75,25619.25,25631.75,35279
2026-01-08 14:00:00,25631.25,25657.75,25595.0,25634.25,34677
2026-01-08 15:00:00,25633.5,25700.0,25625.5,25682.5,44784
2026-01-08 16:00:00,25682.75,25741.75,25680.75,25712.0,13304
2026-01-08 18:00:00,25725.0,25727.25,25671.75,25675.75,3525
2026-01-08 19:00:00,25675.25,25695.0,25664.25,25666.0,3816
2026-01-08 20:00:00,25666.5,25679.25,25627.5,25651.75,5212
2026-01-08 21:00:00,25651.5,25694.0,25649.5,25684.0,4217
2026-01-08 22:00:00,25682.75,25690.5,25666.0,25674.5,2300
2026-01-08 23:00:00,25675.25,25680.75,25657.0,25677.25,1925
2026-01-09 00:00:00,25678.25,25695.25,25666.75,25693.5,2492
2026-01-09 01:00:00,25693.25,25702.5,25672.5,25689.75,1814
2026-01-09 02:00:00,25691.5,25691.75,25652.25,25672.75,2706
2026-01-09 03:00:00,25673.75,25701.75,25665.25,25674.5,5036
2026-01-09 04:00:00,25674.25,25725.25,25662.75,25721.75,4647
2026-01-09 05:00:00,25722.5,25738.0,25717.0,25727.75,3075
